JoinField,Ward,Precinct,Total Voters,Samantha Steele,"Elizabeth ""Liz"" Nicholson"
CITY OF CHICAGO:WARD 01 PRECINCT 01,01,1,367,125,242
CITY OF CHICAGO:WARD 01 PRECINCT 02,01,2,416,133,283
CITY OF CHICAGO:WARD 01 PRECINCT 03,01,3,402,123,279
CITY OF CHICAGO:WARD 01 PRECINCT 04,01,4,366,124,242
CITY OF CHICAGO:WARD 01 PRECINCT 05,01,5,361,133,228
CITY OF CHICAGO:WARD 01 PRECINCT 06,01,6,333,131,202
CITY OF CHICAGO:WARD 01 PRECINCT 07,01,7,369,111,258
CITY OF CHICAGO:WARD 01 PRECINCT 08,01,8,292,95,197
CITY OF CHICAGO:WARD 01 PRECINCT 09,01,9,201,58,143
CITY OF CHICAGO:WARD 01 PRECINCT 10,01,10,380,139,241
CITY OF CHICAGO:WARD 01 PRECINCT 11,01,11,329,129,200
CITY OF CHICAGO:WARD 01 PRECINCT 12,01,12,177,59,118
CITY OF CHICAGO:WARD 01 PRECINCT 13,01,13,263,90,173
CITY OF CHICAGO:WARD 01 PRECINCT 14,01,14,220,91,129
CITY OF CHICAGO:WARD 01 PRECINCT 15,01,15,370,126,244
CITY OF CHICAGO:WARD 01 PRECINCT 16,01,16,360,120,240
CITY OF CHICAGO:WARD 01 PRECINCT 17,01,17,205,83,122
CITY OF CHICAGO:WARD 01 PRECINCT 18,01,18,271,91,180
CITY OF CHICAGO:WARD 01 PRECINCT 19,01,19,247,94,153
CITY OF CHICAGO:WARD 01 PRECINCT 20,01,20,250,97,153
CITY OF CHICAGO:WARD 01 PRECINCT 21,01,21,298,112,186
CITY OF CHICAGO:WARD 01 PRECINCT 22,01,22,357,125,232
CITY OF CHICAGO:WARD 01 PRECINCT 23,01,23,201,76,125
CITY OF CHICAGO:WARD 01 PRECINCT 24,01,24,368,143,225
CITY OF CHICAGO:WARD 01 PRECINCT 25,01,25,360,125,235
CITY OF CHICAGO:WARD 01 PRECINCT 26,01,26,343,125,218
CITY OF CHICAGO:WARD 02 PRECINCT 05,02,5,39,9,30
CITY OF CHICAGO:WARD 02 PRECINCT 06,02,6,410,134,276
CITY OF CHICAGO:WARD 02 PRECINCT 07,02,7,339,114,225
CITY OF CHICAGO:WARD 02 PRECINCT 08,02,8,284,100,184
CITY OF CHICAGO:WARD 02 PRECINCT 09,02,9,373,134,239
CITY OF CHICAGO:WARD 02 PRECINCT 10,02,10,161,65,96
CITY OF CHICAGO:WARD 02 PRECINCT 11,02,11,266,97,169
CITY OF CHICAGO:WARD 02 PRECINCT 12,02,12,237,86,151
CITY OF CHICAGO:WARD 02 PRECINCT 13,02,13,274,113,161
CITY OF CHICAGO:WARD 02 PRECINCT 14,02,14,173,73,100
CITY OF CHICAGO:WARD 02 PRECINCT 15,02,15,264,91,173
CITY OF CHICAGO:WARD 02 PRECINCT 16,02,16,316,120,196
CITY OF CHICAGO:WARD 02 PRECINCT 17,02,17,431,150,281
CITY OF CHICAGO:WARD 02 PRECINCT 18,02,18,185,61,124
CITY OF CHICAGO:WARD 02 PRECINCT 19,02,19,150,69,81
CITY OF CHICAGO:WARD 02 PRECINCT 20,02,20,181,56,125
CITY OF CHICAGO:WARD 02 PRECINCT 21,02,21,75,27,48
CITY OF CHICAGO:WARD 02 PRECINCT 22,02,22,224,80,144
CITY OF CHICAGO:WARD 02 PRECINCT 23,02,23,241,107,134
CITY OF CHICAGO:WARD 02 PRECINCT 24,02,24,206,67,139
CITY OF CHICAGO:WARD 02 PRECINCT 25,02,25,263,99,164
CITY OF CHICAGO:WARD 26 PRECINCT 03,26,3,228,103,125
CITY OF CHICAGO:WARD 26 PRECINCT 07,26,7,123,48,75
CITY OF CHICAGO:WARD 26 PRECINCT 11,26,11,114,36,78
CITY OF CHICAGO:WARD 26 PRECINCT 17,26,17,176,69,107
CITY OF CHICAGO:WARD 26 PRECINCT 19,26,19,261,93,168
CITY OF CHICAGO:WARD 26 PRECINCT 20,26,20,244,104,140
CITY OF CHICAGO:WARD 26 PRECINCT 25,26,25,207,89,118
CITY OF CHICAGO:WARD 26 PRECINCT 26,26,26,212,95,117
CITY OF CHICAGO:WARD 26 PRECINCT 28,26,28,227,86,141
CITY OF CHICAGO:WARD 26 PRECINCT 30,26,30,112,42,70
CITY OF CHICAGO:WARD 26 PRECINCT 32,26,32,176,66,110
CITY OF CHICAGO:WARD 27 PRECINCT 01,27,1,219,73,146
CITY OF CHICAGO:WARD 27 PRECINCT 06,27,6,326,142,184
CITY OF CHICAGO:WARD 27 PRECINCT 07,27,7,384,166,218
CITY OF CHICAGO:WARD 27 PRECINCT 09,27,9,305,160,145
CITY OF CHICAGO:WARD 27 PRECINCT 11,27,11,195,67,128
CITY OF CHICAGO:WARD 27 PRECINCT 12,27,12,205,120,85
CITY OF CHICAGO:WARD 27 PRECINCT 13,27,13,252,153,99
CITY OF CHICAGO:WARD 27 PRECINCT 15,27,15,207,110,97
CITY OF CHICAGO:WARD 27 PRECINCT 16,27,16,213,90,123
CITY OF CHICAGO:WARD 27 PRECINCT 20,27,20,146,90,56
CITY OF CHICAGO:WARD 27 PRECINCT 21,27,21,94,41,53
CITY OF CHICAGO:WARD 27 PRECINCT 25,27,25,14,6,8
CITY OF CHICAGO:WARD 27 PRECINCT 27,27,27,50,19,31
CITY OF CHICAGO:WARD 27 PRECINCT 28,27,28,127,67,60
CITY OF CHICAGO:WARD 27 PRECINCT 29,27,29,286,89,197
CITY OF CHICAGO:WARD 29 PRECINCT 01,29,1,234,97,137
CITY OF CHICAGO:WARD 29 PRECINCT 02,29,2,166,72,94
CITY OF CHICAGO:WARD 29 PRECINCT 03,29,3,28,8,20
CITY OF CHICAGO:WARD 30 PRECINCT 01,30,1,214,102,112
CITY OF CHICAGO:WARD 30 PRECINCT 02,30,2,145,76,69
CITY OF CHICAGO:WARD 30 PRECINCT 03,30,3,286,91,195
CITY OF CHICAGO:WARD 30 PRECINCT 04,30,4,180,74,106
CITY OF CHICAGO:WARD 30 PRECINCT 06,30,6,244,89,155
CITY OF CHICAGO:WARD 30 PRECINCT 07,30,7,134,64,70
CITY OF CHICAGO:WARD 30 PRECINCT 08,30,8,117,48,69
CITY OF CHICAGO:WARD 30 PRECINCT 09,30,9,214,88,126
CITY OF CHICAGO:WARD 30 PRECINCT 10,30,10,156,60,96
CITY OF CHICAGO:WARD 30 PRECINCT 14,30,14,188,80,108
CITY OF CHICAGO:WARD 30 PRECINCT 15,30,15,363,132,231
CITY OF CHICAGO:WARD 30 PRECINCT 16,30,16,124,55,69
CITY OF CHICAGO:WARD 30 PRECINCT 17,30,17,216,99,117
CITY OF CHICAGO:WARD 30 PRECINCT 18,30,18,235,99,136
CITY OF CHICAGO:WARD 30 PRECINCT 19,30,19,140,56,84
CITY OF CHICAGO:WARD 30 PRECINCT 20,30,20,173,62,111
CITY OF CHICAGO:WARD 30 PRECINCT 21,30,21,235,105,130
CITY OF CHICAGO:WARD 30 PRECINCT 22,30,22,296,86,210
CITY OF CHICAGO:WARD 30 PRECINCT 23,30,23,306,111,195
CITY OF CHICAGO:WARD 30 PRECINCT 24,30,24,259,113,146
CITY OF CHICAGO:WARD 30 PRECINCT 25,30,25,145,54,91
CITY OF CHICAGO:WARD 30 PRECINCT 26,30,26,323,103,220
CITY OF CHICAGO:WARD 31 PRECINCT 03,31,3,59,32,27
CITY OF CHICAGO:WARD 31 PRECINCT 06,31,6,75,36,39
CITY OF CHICAGO:WARD 31 PRECINCT 07,31,7,48,19,29
CITY OF CHICAGO:WARD 31 PRECINCT 09,31,9,57,25,32
CITY OF CHICAGO:WARD 31 PRECINCT 10,31,10,109,39,70
CITY OF CHICAGO:WARD 31 PRECINCT 11,31,11,187,87,100
CITY OF CHICAGO:WARD 31 PRECINCT 12,31,12,220,95,125
CITY OF CHICAGO:WARD 31 PRECINCT 13,31,13,141,74,67
CITY OF CHICAGO:WARD 31 PRECINCT 17,31,17,40,27,13
CITY OF CHICAGO:WARD 31 PRECINCT 19,31,19,82,40,42
CITY OF CHICAGO:WARD 32 PRECINCT 01,32,1,511,151,360
CITY OF CHICAGO:WARD 32 PRECINCT 02,32,2,413,132,281
CITY OF CHICAGO:WARD 32 PRECINCT 03,32,3,291,96,195
CITY OF CHICAGO:WARD 32 PRECINCT 04,32,4,288,101,187
CITY OF CHICAGO:WARD 32 PRECINCT 05,32,5,221,74,147
CITY OF CHICAGO:WARD 32 PRECINCT 06,32,6,144,56,88
CITY OF CHICAGO:WARD 32 PRECINCT 07,32,7,268,94,174
CITY OF CHICAGO:WARD 32 PRECINCT 08,32,8,252,81,171
CITY OF CHICAGO:WARD 32 PRECINCT 09,32,9,215,63,152
CITY OF CHICAGO:WARD 32 PRECINCT 10,32,10,408,152,256
CITY OF CHICAGO:WARD 32 PRECINCT 11,32,11,187,68,119
CITY OF CHICAGO:WARD 32 PRECINCT 12,32,12,141,57,84
CITY OF CHICAGO:WARD 32 PRECINCT 13,32,13,90,28,62
CITY OF CHICAGO:WARD 32 PRECINCT 14,32,14,368,129,239
CITY OF CHICAGO:WARD 32 PRECINCT 15,32,15,382,143,239
CITY OF CHICAGO:WARD 32 PRECINCT 16,32,16,156,53,103
CITY OF CHICAGO:WARD 32 PRECINCT 17,32,17,408,149,259
CITY OF CHICAGO:WARD 32 PRECINCT 18,32,18,196,95,101
CITY OF CHICAGO:WARD 32 PRECINCT 19,32,19,203,80,123
CITY OF CHICAGO:WARD 32 PRECINCT 20,32,20,327,113,214
CITY OF CHICAGO:WARD 32 PRECINCT 21,32,21,430,137,293
CITY OF CHICAGO:WARD 32 PRECINCT 22,32,22,336,105,231
CITY OF CHICAGO:WARD 32 PRECINCT 23,32,23,222,93,129
CITY OF CHICAGO:WARD 32 PRECINCT 24,32,24,101,31,70
CITY OF CHICAGO:WARD 32 PRECINCT 25,32,25,263,89,174
CITY OF CHICAGO:WARD 32 PRECINCT 26,32,26,320,111,209
CITY OF CHICAGO:WARD 32 PRECINCT 27,32,27,358,117,241
CITY OF CHICAGO:WARD 32 PRECINCT 28,32,28,103,39,64
CITY OF CHICAGO:WARD 32 PRECINCT 29,32,29,307,104,203
CITY OF CHICAGO:WARD 32 PRECINCT 30,32,30,353,116,237
CITY OF CHICAGO:WARD 33 PRECINCT 01,33,1,534,189,345
CITY OF CHICAGO:WARD 33 PRECINCT 02,33,2,551,205,346
CITY OF CHICAGO:WARD 33 PRECINCT 03,33,3,373,135,238
CITY OF CHICAGO:WARD 33 PRECINCT 04,33,4,485,184,301
CITY OF CHICAGO:WARD 33 PRECINCT 05,33,5,398,149,249
CITY OF CHICAGO:WARD 33 PRECINCT 06,33,6,429,172,257
CITY OF CHICAGO:WARD 33 PRECINCT 07,33,7,455,183,272
CITY OF CHICAGO:WARD 33 PRECINCT 08,33,8,297,122,175
CITY OF CHICAGO:WARD 33 PRECINCT 09,33,9,320,136,184
CITY OF CHICAGO:WARD 33 PRECINCT 10,33,10,296,115,181
CITY OF CHICAGO:WARD 33 PRECINCT 11,33,11,237,101,136
CITY OF CHICAGO:WARD 33 PRECINCT 12,33,12,369,129,240
CITY OF CHICAGO:WARD 33 PRECINCT 13,33,13,351,118,233
CITY OF CHICAGO:WARD 33 PRECINCT 14,33,14,475,149,326
CITY OF CHICAGO:WARD 33 PRECINCT 15,33,15,350,123,227
CITY OF CHICAGO:WARD 33 PRECINCT 16,33,16,480,128,352
CITY OF CHICAGO:WARD 33 PRECINCT 17,33,17,436,161,275
CITY OF CHICAGO:WARD 34 PRECINCT 07,34,7,100,31,69
CITY OF CHICAGO:WARD 34 PRECINCT 09,34,9,61,19,42
CITY OF CHICAGO:WARD 34 PRECINCT 10,34,10,90,33,57
CITY OF CHICAGO:WARD 34 PRECINCT 11,34,11,173,80,93
CITY OF CHICAGO:WARD 34 PRECINCT 12,34,12,173,64,109
CITY OF CHICAGO:WARD 34 PRECINCT 13,34,13,269,106,163
CITY OF CHICAGO:WARD 34 PRECINCT 14,34,14,224,85,139
CITY OF CHICAGO:WARD 34 PRECINCT 15,34,15,85,33,52
CITY OF CHICAGO:WARD 35 PRECINCT 05,35,5,308,119,189
CITY OF CHICAGO:WARD 35 PRECINCT 06,35,6,527,200,327
CITY OF CHICAGO:WARD 35 PRECINCT 08,35,8,206,69,137
CITY OF CHICAGO:WARD 35 PRECINCT 09,35,9,429,135,294
CITY OF CHICAGO:WARD 35 PRECINCT 11,35,11,22,7,15
CITY OF CHICAGO:WARD 35 PRECINCT 12,35,12,409,156,253
CITY OF CHICAGO:WARD 35 PRECINCT 14,35,14,235,92,143
CITY OF CHICAGO:WARD 35 PRECINCT 15,35,15,355,137,218
CITY OF CHICAGO:WARD 35 PRECINCT 16,35,16,480,165,315
CITY OF CHICAGO:WARD 35 PRECINCT 17,35,17,351,143,208
CITY OF CHICAGO:WARD 35 PRECINCT 18,35,18,226,97,129
CITY OF CHICAGO:WARD 35 PRECINCT 19,35,19,295,91,204
CITY OF CHICAGO:WARD 35 PRECINCT 20,35,20,169,66,103
CITY OF CHICAGO:WARD 35 PRECINCT 21,35,21,302,121,181
CITY OF CHICAGO:WARD 35 PRECINCT 22,35,22,382,145,237
CITY OF CHICAGO:WARD 36 PRECINCT 01,36,1,129,47,82
CITY OF CHICAGO:WARD 36 PRECINCT 02,36,2,147,59,88
CITY OF CHICAGO:WARD 36 PRECINCT 03,36,3,134,64,70
CITY OF CHICAGO:WARD 36 PRECINCT 04,36,4,156,75,81
CITY OF CHICAGO:WARD 36 PRECINCT 05,36,5,27,13,14
CITY OF CHICAGO:WARD 36 PRECINCT 18,36,18,129,52,77
CITY OF CHICAGO:WARD 36 PRECINCT 19,36,19,308,116,192
CITY OF CHICAGO:WARD 36 PRECINCT 20,36,20,309,112,197
CITY OF CHICAGO:WARD 36 PRECINCT 21,36,21,105,38,67
CITY OF CHICAGO:WARD 36 PRECINCT 22,36,22,258,95,163
CITY OF CHICAGO:WARD 36 PRECINCT 23,36,23,241,87,154
CITY OF CHICAGO:WARD 36 PRECINCT 24,36,24,258,93,165
CITY OF CHICAGO:WARD 36 PRECINCT 25,36,25,293,81,212
CITY OF CHICAGO:WARD 36 PRECINCT 26,36,26,281,93,188
CITY OF CHICAGO:WARD 36 PRECINCT 27,36,27,269,108,161
CITY OF CHICAGO:WARD 38 PRECINCT 01,38,1,234,83,151
CITY OF CHICAGO:WARD 38 PRECINCT 02,38,2,115,37,78
CITY OF CHICAGO:WARD 38 PRECINCT 03,38,3,186,72,114
CITY OF CHICAGO:WARD 38 PRECINCT 04,38,4,119,43,76
CITY OF CHICAGO:WARD 38 PRECINCT 05,38,5,190,86,104
CITY OF CHICAGO:WARD 38 PRECINCT 06,38,6,164,58,106
CITY OF CHICAGO:WARD 38 PRECINCT 07,38,7,185,94,91
CITY OF CHICAGO:WARD 38 PRECINCT 08,38,8,156,67,89
CITY OF CHICAGO:WARD 38 PRECINCT 09,38,9,186,70,116
CITY OF CHICAGO:WARD 38 PRECINCT 10,38,10,159,60,99
CITY OF CHICAGO:WARD 38 PRECINCT 11,38,11,226,82,144
CITY OF CHICAGO:WARD 38 PRECINCT 12,38,12,248,102,146
CITY OF CHICAGO:WARD 38 PRECINCT 13,38,13,125,47,78
CITY OF CHICAGO:WARD 38 PRECINCT 14,38,14,167,66,101
CITY OF CHICAGO:WARD 38 PRECINCT 15,38,15,185,78,107
CITY OF CHICAGO:WARD 38 PRECINCT 16,38,16,243,90,153
CITY OF CHICAGO:WARD 38 PRECINCT 17,38,17,232,90,142
CITY OF CHICAGO:WARD 38 PRECINCT 18,38,18,303,118,185
CITY OF CHICAGO:WARD 38 PRECINCT 19,38,19,333,143,190
CITY OF CHICAGO:WARD 38 PRECINCT 20,38,20,282,83,199
CITY OF CHICAGO:WARD 38 PRECINCT 21,38,21,357,132,225
CITY OF CHICAGO:WARD 38 PRECINCT 22,38,22,206,64,142
CITY OF CHICAGO:WARD 38 PRECINCT 23,38,23,360,129,231
CITY OF CHICAGO:WARD 38 PRECINCT 24,38,24,313,114,199
CITY OF CHICAGO:WARD 38 PRECINCT 25,38,25,442,177,265
CITY OF CHICAGO:WARD 39 PRECINCT 01,39,1,272,94,178
CITY OF CHICAGO:WARD 39 PRECINCT 02,39,2,159,60,99
CITY OF CHICAGO:WARD 39 PRECINCT 03,39,3,211,71,140
CITY OF CHICAGO:WARD 39 PRECINCT 04,39,4,225,82,143
CITY OF CHICAGO:WARD 39 PRECINCT 05,39,5,206,78,128
CITY OF CHICAGO:WARD 39 PRECINCT 06,39,6,162,57,105
CITY OF CHICAGO:WARD 39 PRECINCT 07,39,7,172,67,105
CITY OF CHICAGO:WARD 39 PRECINCT 08,39,8,154,66,88
